title,author,itunes_id,itunes_URL,length
Live Die Repeat: Edge of Tomorrow,Doug Liman,878682651,https://itunes.apple.com/us/movie/live-die-repeat-edge-of-tomorrow/id878682651?uo=4,113
"Crazy, Stupid, Love",Glenn Ficarra & John Requa,457658502,https://itunes.apple.com/us/movie/crazy-stupid-love/id457658502?uo=4,118
Live and Let Die,Guy Hamilton,560799385,https://itunes.apple.com/us/movie/live-and-let-die/id560799385?uo=4,121
Live Free or Die Hard,Len Wiseman,270698542,https://itunes.apple.com/us/movie/live-free-or-die-hard/id270698542?uo=4,129
You Only Live Twice,Unknown,338391655,https://itunes.apple.com/us/movie/you-only-live-twice/id338391655?uo=4,117
Love & Other Drugs,Edward Zwick,399423384,https://itunes.apple.com/us/movie/love-other-drugs/id399423384?uo=4,112
From Russia With Love,Terence Young,303888092,https://itunes.apple.com/us/movie/from-russia-with-love/id303888092?uo=4,115
To Rome With Love,Woody Allen,574132119,https://itunes.apple.com/us/movie/to-rome-with-love/id574132119?uo=4,111
Eat Pray Love,Ryan Murphy,393457278,https://itunes.apple.com/us/movie/eat-pray-love/id393457278?uo=4,140
"I Love You, Man",John Hamburg & Larry Levin,316331669,https://itunes.apple.com/us/movie/i-love-you-man/id316331669?uo=4,105
Love Actually,Richard Curtis,292606147,https://itunes.apple.com/us/movie/love-actually/id292606147?uo=4,134
P.S. I Love You,Richard LaGravenese,277695195,https://itunes.apple.com/us/movie/p-s-i-love-you/id277695195?uo=4,126
Live By Night,Unknown,1181798498,https://itunes.apple.com/us/movie/live-by-night/id1181798498?uo=4,128
"Love, Rosie",Christian Ditter,949789090,https://itunes.apple.com/us/movie/love-rosie/id949789090?uo=4,102
Endless Love (2014),Shana Feste,804718333,https://itunes.apple.com/us/movie/endless-love-2014/id804718333?uo=4,104
Love the Coopers,Jessie Nelson,1054114989,https://itunes.apple.com/us/movie/love-the-coopers/id1054114989?uo=4,106
Love Happens,Brandon Camp,344403528,https://itunes.apple.com/us/movie/love-happens/id344403528?uo=4,109
From Paris With Love,Pierre Morel,361993903,https://itunes.apple.com/us/movie/from-paris-with-love/id361993903?uo=4,92
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,263616854,https://itunes.apple.com/us/movie/dr-strangelove-or-how-i-learned-to-stop-worrying-love/id263616854?uo=4,94
Love & Friendship,Whit Stillman,1120902438,https://itunes.apple.com/us/movie/love-friendship/id1120902438?uo=4,93
"I Love You, Beth Cooper",Chris Columbus,320476689,https://itunes.apple.com/us/movie/i-love-you-beth-cooper/id320476689?uo=4,101
The Love Guru,Marco Schnabel,285221151,https://itunes.apple.com/us/movie/the-love-guru/id285221151?uo=4,86
"The Goods: Live Hard, Sell Hard",Neal Brennan,331693774,https://itunes.apple.com/us/movie/the-goods-live-hard-sell-hard/id331693774?uo=4,89
Shakespeare in Love,John Madden,432481298,https://itunes.apple.com/us/movie/shakespeare-in-love/id432481298?uo=4,0
Love & Basketball,Gina Prince-Bythewood,318700570,https://itunes.apple.com/us/movie/love-basketball/id318700570?uo=4,124
The House I Live In,Eugene Jarecki,587720531,https://itunes.apple.com/us/movie/the-house-i-live-in/id587720531?uo=4,108
Love & Mercy,Bill Pohlad,996254139,https://itunes.apple.com/us/movie/love-mercy/id996254139?uo=4,121
Vengeance: A Love Story,Johnny Martin,1268865416,https://itunes.apple.com/us/movie/vengeance-a-love-story/id1268865416?uo=4,99
Love Story,Arthur Hiller,211292219,https://itunes.apple.com/us/movie/love-story/id211292219?uo=4,100
Harold and Maude,Hal Ashby,285671994,https://itunes.apple.com/us/movie/harold-and-maude/id285671994?uo=4,91
Gabriel Iglesias: I'm Not Fat... I'm Fluffy - Live from El Paso,Manny Rodriguez,333369311,https://itunes.apple.com/us/movie/gabriel-iglesias-im-not-fat-im-fluffy-live-from-el-paso/id333369311?uo=4,69
The One I Love,Charlie McDowell,903453639,https://itunes.apple.com/us/movie/the-one-i-love/id903453639?uo=4,91
Alice Doesn't Live Here Anymore,Martin Scorsese,298418497,https://itunes.apple.com/us/movie/alice-doesnt-live-here-anymore/id298418497?uo=4,112
Feast of Love,Robert Benton,274982397,https://itunes.apple.com/us/movie/feast-of-love/id274982397?uo=4,101
"Love, Wedding, Marriage",Dermot Mulroney,431460334,https://itunes.apple.com/us/movie/love-wedding-marriage/id431460334?uo=4,90
Wristcutters: A Love Story,Goran Dukic,281771283,https://itunes.apple.com/us/movie/wristcutters-a-love-story/id281771283?uo=4,88
Everybody Loves Somebody,Catalina Aguilar Mastretta,1244083093,https://itunes.apple.com/us/movie/everybody-loves-somebody/id1244083093?uo=4,101
The Skin I Live In,Pedro Almod¨®var,500671808,https://itunes.apple.com/us/movie/the-skin-i-live-in/id500671808?uo=4,120
Love and Other Disasters,Alek Keshishian,278968770,https://itunes.apple.com/us/movie/love-and-other-disasters/id278968770?uo=4,90
Love and Honor,Danny Mooney,595637392,https://itunes.apple.com/us/movie/love-and-honor/id595637392?uo=4,95
Love Is All You Need,Susanne Bier,684541119,https://itunes.apple.com/us/movie/love-is-all-you-need/id684541119?uo=4,116
For Love of the Game,Sam Raimi,300244525,https://itunes.apple.com/us/movie/for-love-of-the-game/id300244525?uo=4,137
Lust for Love,Anton King,799019168,https://itunes.apple.com/us/movie/lust-for-love/id799019168?uo=4,85
They Live,John Carpenter,283516515,https://itunes.apple.com/us/movie/they-live/id283516515?uo=4,94
Monster High: Why Do Ghouls Fall in Love?,Steve Sacks & Dustin McKenzie,587753277,https://itunes.apple.com/us/movie/monster-high-why-do-ghouls-fall-in-love/id587753277?uo=4,46
Down With Love,Peyton Reed,289066467,https://itunes.apple.com/us/movie/down-with-love/id289066467?uo=4,101
I Love You Phillip Morris,Glenn Ficarra & John Requa,429637891,https://itunes.apple.com/us/movie/i-love-you-phillip-morris/id429637891?uo=4,0
One Direction: Where We Are - Live from San Siro Stadium,One Direction,939048584,https://itunes.apple.com/us/movie/one-direction-where-we-are-live-from-san-siro-stadium/id939048584?uo=4,130
The Face of Love,Arie Posin,891015225,https://itunes.apple.com/us/movie/the-face-of-love/id891015225?uo=4,92
American Pie Presents: The Book of Love,John Putch,339113337,https://itunes.apple.com/us/movie/american-pie-presents-the-book-of-love/id339113337?uo=4,91
